ano,fase,nivel,numero_questao,titulo,enunciado,alternativas,questao,classe
2003,0,1,3,roland garros,"no torneio de roland garros, um dos mais tradicionais torneios de tênis do mundo, realizado em paris, participam 128 tenistas. em cada partida, participam dois jogadores, sendo que o vencedor passa para a próxima fase, e o perdedor é eliminado do torneio. a cada rodada, os tenistas que ainda continuam no torneio participam de exatamente uma partida.",(a) 64 - (b) 65 - (c) 127 - (d) 128 - (e) nenhuma das acima,qual o número total de partidas deste torneio? -,outros
2003,0,1,4,roland garros,"no torneio de roland garros, um dos mais tradicionais torneios de tênis do mundo, realizado em paris, participam 128 tenistas. em cada partida, participam dois jogadores, sendo que o vencedor passa para a próxima fase, e o perdedor é eliminado do torneio. a cada rodada, os tenistas que ainda continuam no torneio participam de exatamente uma partida.",(a) 8 - (b) 9 - (c) 10 - (d) 16 - (e) nenhuma das acima,"quantas rodadas existem, no total, durante o torneio? -",outros
2003,0,1,9,biblioteca,"exatamente nove revistas devem ser expostas em uma das prateleiras da biblioteca da escola. vamos chamar a posição mais à esquerda de primeira, e a mais à direita de nona posição. das nove revistas, quatro são sobre ciência, três são sobre esportes, e duas são sobre culinária. as quatro revistas sobre ciência devem ser colocados uma vizinha à outra, e as duas revistas sobre culinária também devem ser dispostas uma vizinha à outra (ou seja, uma ao lado da outra). as três revistas sobre esportes não precisam estar colocadas uma vizinha à outra.",(a) a primeira - (b) a segunda - (c) a terceira - (d) a quarta - (e) a nona,"se a sexta posição é ocupada por uma revista de ciência, e a oitava posição é ocupada por uma revista de esportes, qual das seguintes posições deve ser ocupada por uma revista de culinária? -",ordenação
2003,0,1,10,biblioteca,"exatamente nove revistas devem ser expostas em uma das prateleiras da biblioteca da escola. vamos chamar a posição mais à esquerda de primeira, e a mais à direita de nona posição. das nove revistas, quatro são sobre ciência, três são sobre esportes, e duas são sobre culinária. as quatro revistas sobre ciência devem ser colocados uma vizinha à outra, e as duas revistas sobre culinária também devem ser dispostas uma vizinha à outra (ou seja, uma ao lado da outra). as três revistas sobre esportes não precisam estar colocadas uma vizinha à outra.",(a) na primeira - (b) na terceira - (c) na quinta - (d) na sétima - (e) na nona,as revistas de esportes devem ser colocadas uma vizinha à outra se uma revista de culinária está em qual das seguintes posições? -,ordenação
2003,0,1,11,biblioteca,"exatamente nove revistas devem ser expostas em uma das prateleiras da biblioteca da escola. vamos chamar a posição mais à esquerda de primeira, e a mais à direita de nona posição. das nove revistas, quatro são sobre ciência, três são sobre esportes, e duas são sobre culinária. as quatro revistas sobre ciência devem ser colocados uma vizinha à outra, e as duas revistas sobre culinária também devem ser dispostas uma vizinha à outra (ou seja, uma ao lado da outra). as três revistas sobre esportes não precisam estar colocadas uma vizinha à outra.",(a) a primeira - (b) a segunda - (c) a quarta - (d) a sexta - (e) a oitava,"se a primeira e a sétima posições têm revistas do mesmo tipo, qual das seguintes posições deve ter uma revista de ciência? -",ordenação
2003,0,1,12,biblioteca,"exatamente nove revistas devem ser expostas em uma das prateleiras da biblioteca da escola. vamos chamar a posição mais à esquerda de primeira, e a mais à direita de nona posição. das nove revistas, quatro são sobre ciência, três são sobre esportes, e duas são sobre culinária. as quatro revistas sobre ciência devem ser colocados uma vizinha à outra, e as duas revistas sobre culinária também devem ser dispostas uma vizinha à outra (ou seja, uma ao lado da outra). as três revistas sobre esportes não precisam estar colocadas uma vizinha à outra.",(a) a primeira e a segunda - (b) a segunda e a terceira - (c) a segunda e a quarta - (d) a terceira e a quarta - (e) a terceira e a quinta,"se uma revista de esportes ocupa a quinta posição na prateleira, e uma revista de ciência ocupa a nona posição, qual dos seguintes pares de posições devem ter revistas de tipos diferentes? -",ordenação
2003,0,1,16,salas de aula,"uma escola conta com sete salas de aula que devem ser pintadas. as salas estão localizadas em um único lado do corredor, sendo numeradas seqüencialmente, de um a sete, da frente para os fundos do prédio. entrada cada sala de aula deve ser pintada utilizando uma única cor, de acordo com as seguintes restrições: - duas salas devem ser pintadas de branco; duas salas devem ser pintadas de azul; duas salas devem ser pintadas de verde; e uma sala deve ser pintada de amarelo. - as duas salas pintadas de verde devem ser vizinhas (contíguas). - as duas salas pintadas de azul não podem ser vizinhas (contíguas). - a sala pintada de amarelo não pode ser vizinha de uma sala pintada de branco. - a sala número 3 deve ser pintada de branco",(a) sala 1 deve ser pintada de amarelo. (b) sala 1 deve ser pintada de verde. (c) sala 4 deve ser pintada de azul. (d) sala 6 deve ser pintada de branco. (e) sala 6 deve ser pintada de azul.,"qual das seguintes restrições, quando combinada com as restrições originais, tem como conseqüência a determinação completa da cor que cada sala deve ser pintada:",ordenação
2003,0,1,15,salas de aula,"uma escola conta com sete salas de aula que devem ser pintadas. as salas estão localizadas em um único lado do corredor, sendo numeradas seqüencialmente, de um a sete, da frente para os fundos do prédio. entrada cada sala de aula deve ser pintada utilizando uma única cor, de acordo com as seguintes restrições: - duas salas devem ser pintadas de branco; duas salas devem ser pintadas de azul; duas salas devem ser pintadas de verde; e uma sala deve ser pintada de amarelo. - as duas salas pintadas de verde devem ser vizinhas (contíguas). - as duas salas pintadas de azul não podem ser vizinhas (contíguas). - a sala pintada de amarelo não pode ser vizinha de uma sala pintada de branco. - a sala número 3 deve ser pintada de branco",(a) sala 1 será pintada de verde. (b) sala 1 será pintada de amarelo. (c) sala 5 será pintada de azul. (d) sala 6 será pintada de amarelo. (e) sala 7 será pintada de azul.,"se a sala 4 for pintada de branco e uma sala que é pintada de verde for vizinha de uma sala que é pintada de branco, qual das seguintes alternativas precisa ser verdadeira?",ordenação
2003,0,1,13,salas de aula,"uma escola conta com sete salas de aula que devem ser pintadas. as salas estão localizadas em um único lado do corredor, sendo numeradas seqüencialmente, de um a sete, da frente para os fundos do prédio. entrada cada sala de aula deve ser pintada utilizando uma única cor, de acordo com as seguintes restrições: - duas salas devem ser pintadas de branco; duas salas devem ser pintadas de azul; duas salas devem ser pintadas de verde; e uma sala deve ser pintada de amarelo. - as duas salas pintadas de verde devem ser vizinhas (contíguas). - as duas salas pintadas de azul não podem ser vizinhas (contíguas). - a sala pintada de amarelo não pode ser vizinha de uma sala pintada de branco. - a sala número 3 deve ser pintada de branco",(a) sala 1 (b) sala 3 (c) sala 4 (d) sala 5 (e) sala 6,"se a sala 2 for pintada de verde, qual das seguintes salas deve também ser pintada de verde?",ordenação
2003,0,1,14,salas de aula,"uma escola conta com sete salas de aula que devem ser pintadas. as salas estão localizadas em um único lado do corredor, sendo numeradas seqüencialmente, de um a sete, da frente para os fundos do prédio. entrada cada sala de aula deve ser pintada utilizando uma única cor, de acordo com as seguintes restrições: - duas salas devem ser pintadas de branco; duas salas devem ser pintadas de azul; duas salas devem ser pintadas de verde; e uma sala deve ser pintada de amarelo. - as duas salas pintadas de verde devem ser vizinhas (contíguas). - as duas salas pintadas de azul não podem ser vizinhas (contíguas). - a sala pintada de amarelo não pode ser vizinha de uma sala pintada de branco. - a sala número 3 deve ser pintada de branco",(a) sala 1 é pintada de azul. (b) sala 2 é pintada de amarelo. (c) sala 4 é pintada de verde. (d) sala 4 é pintada de amarelo. (e) sala 6 é pintada de azul.,"se a sala 5 for pintada de branco, qual das seguintes alternativas pode ser verdadeira?",ordenação
